season,episode,scene,character,line
1,1,2,Glimmer,Your Majesty.
1,1,2,Angella,I'm told you disobeyed orders and led the Rebellion into a dangerous combat situation after you were ordered to retreat.
1,1,2,Glimmer,I was trying to protect a village from falling into The Horde's grasp.
1,1,2,Angella,You were reckless and put yourself and the other rebels in danger.
1,1,2,Glimmer,"Fighting is supposed to be dangerous! How are we going to hold our own against The Horde if we keep retreating? Pretty soon, we won't have anything left to defend."
1,1,2,Angella,"I'm growing tired of your back-talking, Commander Glimmer."
1,1,2,Glimmer,Why did you even make me a commander if you won't let me fight?
1,1,2,Angella,That's enough! You're grounded!
1,1,2,Glimmer,Mom!
1,1,2,Angella,You heard me!
1,1,2,Glimmer,You never let me do anything!
1,1,2,Angella,We are not having this discussion tonight. You are embarrassing me in front of my royal court.
1,1,2,Glimmer,"Oh, I'm embarrassing you?"
1,1,2,Angella,Go to your room!
1,1,2,Glimmer,I'm going!
1,1,3,Catra,"What'd she say? Hey, what's this?"
1,1,3,Adora,Hey! Give it back.
1,1,3,Catra,No way. You've been promoted?
1,1,3,Adora,"Well, kind of. I mean, yeah, I guess. Heh. But it's not a big deal."
1,1,3,Catra,"Are you kidding? That is awesome. We're gonna see the world and conquer it. Adora, I need to blow something up."
1,1,3,Adora,Umm..
1,1,3,Catra,What?
1,1,3,Adora,Shadow Weaver says you're not coming.
1,1,3,Catra,What? My time was just as good as yours today. What is her problem with me?
1,1,3,Adora,"I mean, you are kind of disrespectful."
1,1,3,Catra,Why should I respect her? She's just bitter that she doesn't have any real power that doesn't come from Hordak and everyone knows it. I guess it sure must be easy being a people pleaser like you.
1,1,3,Adora,"I am not a pe-- Catra, wait."
1,1,4,Adora,"Look, I'm sorry. I didn't even think you wanted to be a Force Captain."
1,1,4,Catra,"I don't. Here, take your stupid badge."
1,1,4,Adora,"Come on, Catra. This is what I have been working for my entire life. I was hoping you could be, I don't know, happy for me."
1,1,4,Catra,"Ugh, whatever. It's not like I even care. I just wanna get out of this dump at some point before I die of boredom. I wonder what's even outside the Fright Zone anyway."
1,1,4,Adora,Why don't we go find out?
1,1,5,Catra,I take it all back. You're officially awesome. I can't believe you actually stole a skiff.
1,1,5,Adora,Borrowed. Please don't make me regret this.
1,1,5,Catra,"I've always wanted to drive one of these things. Here, gimme."
1,1,5,Adora,"Whoa, there. Save us enough fuel to get back."
1,1,5,Catra,That's a problem for future Adora and Catra.
1,1,5,Adora,I'm driving. I want it.
1,1,5,Catra,I'm driving. I want it.
1,1,5,Catra,Can't have it!
1,1,5,Catra,Let me.
1,1,5,Adora,Give me. I'm doing it.
1,1,5,Catra,Adora. I want it.
1,1,5,Adora,"No, I've got it."
1,1,5,Adora,Catra!
1,1,6,Catra,What is it?
1,1,6,Adora,"I think this must be the Whispering Woods. They say there are strange, old monsters in there, an- and the trees move when you're not looking. Every Horde squadron they've sent in there has never come out again."
1,1,6,Catra,Let's go in.
1,1,6,Adora,"Wait, what?"
1,1,6,Catra,Woo-hoo!
1,1,6,Adora,"Catra, slow down! Catra, tree! Tree!"
1,1,6,Catra,Adora!
1,1,7,Adora,Catra? Huh?
1,1,7,Adora,Whoa.
1,1,7,Adora,Cool.
1,1,7,Other,Balance must be restored. Etheria must seek a hero.
1,1,7,Other,"Adora, Adora."
1,1,7,Catra,"Hey, Adora? Adora!"
1,1,7,Adora,Catra? What happened?
1,1,7,Catra,You fell out of the skiff after you drove it into a tree.
1,1,7,Adora,"No, you drove it into a tree."
1,1,7,Catra,"Ah, up for debate. Come on, let's go."
1,1,7,Adora,Wait. Where is it? Where'd it go?
1,1,7,Catra,What?
1,1,7,Adora,"Ther- There was a sword. It was right here. I tried to touch it, but it got really bright."
1,1,7,Catra,"Are you brain damaged? Don't be brain damaged. Oh, Shadow Weaver's gonna kill me."
1,1,7,Adora,"I'm not brain damaged. It was here, I saw it."
1,1,7,Catra,"Well, there's nothing here now. So, come on, let's go."
1,1,8,Glimmer,"""Dear Mom, I know you'll never read this, but I have to say it somewhere. I feel like you... don't respect me."
1,1,8,Glimmer,Watch it! You almost hit me!
1,1,8,Bow,"Hey, Glimmer."
1,1,8,Glimmer,"Shh! Bow, what are you doing here?"
1,1,8,Bow,What did you say? Come down here.
1,1,8,Glimmer,"I can't, I'm grounded."
1,1,8,Bow,What?
1,1,8,Glimmer,I'm grounded.
1,1,8,Bow,...What?
1,1,8,Glimmer,I'm... grounded.
1,1,8,Glimmer,I'm so mad at my mom.
1,1,8,Bow,Is this about the siege on Elberon?
1,1,8,Glimmer,"I was just trying to defend another one our villages from falling into The Horde's Clutches. She stationed me all the way out here because it's too remote to ever get attacked, but then it did, and it was my one chance to prove that I can do this. But she acts like I can't do anything because I'm just a princess."
1,1,8,Bow,"That doesn't make any sense. Everyone here is a princess. I'm, like, the only one who's not a princess."
1,1,8,Glimmer,Tell that to my mom.
1,1,8,Bow,"Hey, where does this go?"
1,1,8,Glimmer,Bottom drawer.
1,1,8,Bow,"Anyway, your mom might have a point. Only reason you got out of there is because of your teleportation powers, and, let's face it, they don't always work that well."
1,1,8,Glimmer,"Looking for support here, Bow!"
1,1,8,Bow,"I'm just saying, if you wanna prove yourself, it's gonna take more than running recklessly into any old battle. Luckily, I've got just the thing. Check this out. I detected a piece of First Ones tech in the Whispering Woods. A pretty powerful one, too, by the size of these readings. If you find this one and bring it back, your mom is bound to be impressed."
1,1,8,Glimmer,Did you forget I'm grounded?
1,1,8,Angella,Glimmer? Are you in there?
1,1,8,Glimmer,Uh...
1,1,8,Bow,Ah!
1,1,8,Angella,Glimmer?
1,1,8,Glimmer,"Everything's fine, Mom."
1,1,8,Angella,Is someone else in there? I heard voices.
1,1,8,Glimmer,No one else is in here. Can you please just leave me alone?
1,1,8,Angella,"I don't appreciate your tone right now, young lady."
1,1,8,Glimmer,What tone?
1,1,8,Angella,That attitude of yours is never gonna help you know.
1,1,8,Glimmer,"Mom, you always tell me what to do-"
1,1,8,Angella,You cannot act that way!
1,1,8,Glimmer,-And that's not fair!
1,1,8,Glimmer,I'm in.
1,1,9,Other,Adora. Adora. Adora!
1,1,9,Catra,"Hey, where are you going?"
1,1,9,Adora,Back to the woods. There's something I need to figure out.
1,1,9,Catra,What? You're not--
1,1,9,Catra,What is wrong with you? You've been acting weird since we got back. Are you sure you're not brain damaged?
1,1,9,Adora,"Look Catra, I know I saw something out there. It's ju- I just need to get another look. It feels important somehow."
1,1,9,Catra,Sounds good. Let's go.
1,1,9,Adora,No. I don't want you getting in trouble on my behalf. Just cover for me okay? I'll be back before anyone knows I'm gone.
1,1,9,Catra,Adora! Adora!
1,1,10,Bow,Come on! Come on!
1,1,10,Glimmer,Uh! Please tell me we're not lost!
1,1,10,Bow,"No, this thing is just acting up. Looks like it's being overloaded by the tech's signal. We must be getting close!"
1,1,10,Glimmer,Uhh... I think it's that way.
1,1,10,Bow,What makes you say that?
1,1,10,Bow,"Oh, yeah. That'll do it."
1,1,10,Adora,"What are you doing out here, Adora? Catra's right, this is crazy. There's no sword, you just got hit on the head a little too hard. You should just go back home and forget about all of this."
1,1,10,Glimmer,"Bow, just let me lead the way, okay?"
1,1,10,Bow,The light came from the edge of the forest.
1,1,10,Glimmer,"Yes, you saw the light. It's this way."
1,1,10,Bow,The trackpad says otherwise.
1,1,10,Glimmer,It's this way--
1,1,10,Glimmer,Horde soldier!
1,1,10,Bow,I see her!
1,1,10,Glimmer,"Bow, catch."
1,1,10,Adora,Give me the sword.
1,1,10,Adora,Get off. Stand down. I don't wanna hurt you.
1,1,10,Glimmer,Since when do Horde soldiers not want to hurt anyone?
1,1,10,Adora,What?
1,1,10,Other,"Hello, Adora."
1,1,10,Adora,Who are you? What's going on?
1,1,10,Other,"My name is Light Hope. I have been waiting a long time for you, but I could not reach you until you forged your connection with the sword."
1,1,10,Adora,You sent the sword?
1,1,10,Light Hope,"The sword is meant for you. Etheria has need of you, Adora. Will you answer its call? Will you fight for the honor of Grayskull?"
1,1,10,Adora,What are you talking about? What-- What is-- What's Grayskull? You're not making any sense! I don't understand!
1,1,10,Light Hope,You will.
1,1,10,Adora,Wait!
1,1,10,Bow,Hey! She's awake.
1,1,10,Adora,What happened?
1,1,10,Glimmer,"Quiet, Horde spy, I ask the questions. How did you make it this far into the Whispering Woods?"
1,1,10,Adora,I just walked in. And I'm not a spy.
1,1,10,Glimmer,"Sure, sure. You just so happened to find yourself in the Whispering Woods, like you just so happened to try and steal our sword."
1,1,10,Adora,It's not yours. I found it first.
1,1,10,Glimmer,"The Whispering Woods is under the Rebellion's protection. You were lucky to make it as far as you did. Come on, Bow. Let's get this spy back to Bright Moon where she can be interrogated properly. This is perfect. Not only do we First Ones tech for the rebellion, we've also captured a Horde spy. My mom's gonna be so impressed. Now come on, on your feet."
1,1,11,Bow,"You positive we're going the right way, Glimmer?"
1,1,11,Glimmer,"I know what I'm doing, Bow. Can you please just trust me for once?"
1,1,11,Bow,"You know I always trust you, but I'm starting to get a little freaked out. I mean, I pretty much grew up in these woods and I've never even seen this part of them. I've heard stories about weird stuff out here."
1,1,11,Glimmer,"It's fine, okay? Just let me figure this out."
1,1,11,Bow,"Okay! Touchy. Sorry about her. Usually she's really nice. Not much for talking, huh?"
1,1,11,Adora,I prefer not to swap pleasantries with my captors.
1,1,11,Bow,Fair. Suit yourself.
1,1,11,Adora,"You know she's a princess, right? How can you follow her? Princesses are a dangerous threat to everyone on Etheria."
1,1,11,Bow,Is that what Hordak told you?
1,1,11,Adora,Well I thought it was just common knowledge. They're violent instigators who don't even know how to control their powers.
1,1,11,Bow,"You've never actually met a princess, have you?"
1,1,11,Adora,"Well, maybe not in person, but..."
1,1,11,Adora,What happened to this place?
1,1,11,Glimmer,Don't play dumb with me. I bet you were part of the raiding party that did this.
1,1,11,Adora,What are you talking about? The Horde didn't do this.
1,1,11,Glimmer,"Oh yeah? You're a heartless destroyer, just like all the rest of your people."
1,1,11,Adora,I'm not a destroyer. Hordak says we're doing what's best for Etheria. We're trying to make things better. More orderly.
1,1,11,Glimmer,"This is what's best for Etheria? Ever since The Horde got here, they've been poisoning our land, burning our cities, destroying everything in their path. And you're a part of it! How's that for orderly?"
1,1,11,Adora,This doesn't make any sense. The Horde would never do something like this.
1,1,11,Bow,"Did you really not know any of this? I mean, your army is called the Evil Horde."
1,1,11,Adora,Who calls us that?
1,1,11,Bow,...Everybody!
1,1,11,Adora,The Horde rescued me when I was a baby and gave me a home. They're my family. You-- you don't know them like I do.
1,1,11,Bow,Maybe you don't know them like you think you do.
1,1,11,Glimmer,There's something out there. Something big.
1,1,11,Bow,How big?
1,1,11,Bow,"So, pretty big then."
1,1,11,Bow,Watch out!
1,1,11,Adora,"Hey, bug brain! Come on, Magic Sword. Oh, where's a blinding flash of light when you need one?"
1,1,11,Light Hope,Adora. Adora. Adora.
1,1,11,Light Hope,Will you fight for the honor of Grayskull?
1,1,11,Adora,For the honor of Grayskull!
1,2,0,Glimmer,"Yeah, I see her, Bow."
1,2,0,Bow,Okay. I wanted to make sure it wasn't just me.
1,2,0,Adora,Huh?
1,2,0,Glimmer,Stay where you are!
1,2,0,Adora,What did you do to me?
1,2,0,Glimmer,What do you mean what did 'I' do to you?
1,2,0,Adora,I didn't know being a princess was contagious!
1,2,0,Bow,"Okay, okay, everyone, calm down! Wanna tell us how you did that?"
1,2,0,Adora,"I didn't do anything. All I did was pick up the sword, and then, whoosh, I'm in a tiara!"
1,2,0,Glimmer,I don't care how she did it. We just have to make sure she never does it again!
1,2,0,Bow,Do it again! Do it again!
1,2,0,Glimmer,Bow!
1,2,0,Bow,Do what you did before.
1,2,0,Adora,I don't know what I did before!
1,2,0,Glimmer,No time. We have to go.
1,2,0,Adora,What is this place?
1,2,0,Bow,"No idea, but in there's gotta be better than out here."
1,2,0,Glimmer,"Everyone, grab on, I can get us in there!"
1,2,0,Bow,"Glimmer, no! You've never teleported three people before."
1,2,0,Glimmer,Do you have a better idea?
1,2,0,Adora,What's written on this door? It looks like some kind of password.
1,2,0,Bow,You can read that?
1,2,0,Adora,You can't?
1,2,0,Bow,What's it say?
1,2,0,Adora,"Uh, ""Eternia."""
1,2,0,Glimmer,"Oh, come on!"
1,2,1,Bow,"So, Horde soldier, have you always been able to read First Ones' writing?"
1,2,1,Glimmer,Wanna tell us what exactly is going on here?
1,2,1,Adora,I told you I don't know I just read the word on the door.
1,2,1,Glimmer,"Right... You read a word in a language that no one's spoken for a thousand years, and the door just opened into a mysterious ancient ruin. Sure."
1,2,1,Adora,You think I did this on purpose? You think I wanted to be a princess? Princesses are monsters.
1,2,1,Glimmer,Monsters? You're the monster!
1,2,1,Bow,"Whoa, whoa, whoa, whoa. Glimmer, she did save us."
1,2,1,Glimmer,"I don't care! We can't just trust her, Bow. Or have you forgotten everything the Horde's done to us? The people we've lost. We need to find another way out of here and get her back to Bright Moon as soon as possible. My mother will know what to do with her."
1,2,1,Bow,"Hey, so, thanks for saving us from that bug thing back there when you could've escaped instead."
1,2,1,Adora,"Okay, well I didn't save you. I just wanted to get the sword, okay?"
1,2,1,Bow,Are you sure it's not because you secretly like us?
1,2,1,Adora,Wh--? I don't like you. You're my captors.
1,2,1,Bow,Sure.
1,2,2,Bow,"Thanks for saving us anyway. I'm Bow, by the way."
1,2,2,Adora,Adora.
1,2,2,Bow,"""Adora."" Ah. Weird name for a Horde soldier."
1,2,2,Adora,Is it?
1,2,2,Glimmer,For the honor of Grayskull.
1,2,2,Bow,What are we doing?
1,2,2,Glimmer,"Nothing! I mean, uhh.. Look at these carvings. I think this might be a First Ones' ruin."
1,2,2,Adora,What's a First One?
1,2,2,Glimmer,You've never heard of the First Ones?
1,2,2,Bow,"The First Ones are the original settlers of Etheria. They disappeared a thousand year ago, but they left behind a lot of old ruins and technology. Like this place."
1,2,2,Adora,"So, what happened to them?"
1,2,2,Bow,No one knows. They just disappeared. The Horde didn't tell you about them?
1,2,2,Adora,Seems like there's a lot the Horde didn't tell me.
1,2,2,Glimmer,Ugh. How do we get out of here?
1,2,2,Bow,"It'll take forever to find a way out at this rate. Hey! Wanna turn on some lights, Adora?"
1,2,2,Adora,I don't know how to do that.
1,2,2,Bow,"Maybe there's a magic word. Ooh, what's the First Ones' word for ""lights""?"
1,2,2,Adora,I don't know. I'm not magic.
1,2,2,Glimmer,"Obviously. Everyone, stand back."
1,2,2,Bow,"Uh, Glimmer? Maybe you should take it easy. We're a long way from Bright Moon. It'll be awhile until you can recharge."
1,2,2,Glimmer,Bow!
1,2,2,Adora,You have to recharge your powers?
1,2,2,Glimmer,"Can we not talk about this in front of the Horde soldier? Now, stand back."
1,2,2,Adora,Whoa.
1,2,2,Bow,Wow. Are you okay?
1,2,2,Glimmer,"I'm fine, Bow."
1,2,2,Bow,Oh hey! That's you!
1,2,2,Adora,What? That doesn't look anything like me.
1,2,2,Bow,"No, I mean, the other you. The scary one in the cape."
1,2,2,Adora,That was me?
1,2,2,Bow,"You can read that inscription, right? What's it say?"
1,2,2,Adora,"It says... ""She-Ra."""
1,2,2,Light Hope,"Greetings, administrator."
1,2,2,Adora,What is this thing?
1,2,2,Light Hope,What is your query?
1,2,2,Bow,I think it's some kind of ancient hologram.
1,2,2,Light Hope,What is your query?
1,2,2,Bow,Uh... Hi. What is this place? How do we get out of here?
1,2,2,Light Hope,What is your query?
1,2,2,Bow,Welp. She's broken.
1,2,2,Glimmer,She's old. I'm surprised any of this stuff still works at all.
1,2,2,Light Hope,Administrator not detected. Lockdown initiated.
1,2,2,Glimmer,I didn't do it!
1,2,2,Bow,No. No. No lockdown! No lockdown!
1,2,2,Bow,"Adora, you gotta get it to stop!"
1,2,2,Adora,What makes you think I can?
1,2,2,Light Hope,Query not recognized.
1,2,2,Bow,There's gotta be a password or something!
1,2,2,Adora,"Uh, stop it! Uh, Eternia! Eternia! Give me the sword!"
1,2,2,Glimmer,What? No!
1,2,2,Adora,"We need the scary lady in the cape. I don't know how, but she's the key to this place, so maybe she can get us out."
1,2,2,Glimmer,You're a Horde soldier. I'm not giving you the sword.
1,2,2,Adora,"Eternia! Uh, cape! Uh... She-Ra!"
1,2,2,Glimmer,Hold on!
1,2,2,Bow,"Glimmer, no!"
1,2,3,Bow,Glimmer!
1,2,3,Bow,Glimmer? Glimmer!
1,2,3,Glimmer,Did it work?
1,2,3,Bow,"Yeah, it worked. Barely. Are you alright?"
1,2,3,Glimmer,I'm fine. I think I used too much power getting us out of there.
1,2,3,Bow,"I don't know who could've predicted that... Oh, right. Me."
1,2,3,Glimmer,Bow...
1,2,3,Bow,Like an hour ago.
1,2,3,Glimmer,Bow!
1,2,3,Bow,"Sorry. I'm just glad you're okay. No more teleporting for awhile, okay. You could really hurt yourself."
1,2,3,Glimmer,"I'm fine, okay? Let's just get back to Bright Moon so I can recharge already. Why are you still here?"
1,2,3,Adora,What?
1,2,3,Glimmer,Bow and I are hardly a crack security team. You could've escaped at any time. Why didn't you?
1,2,3,Adora,"I just-- I wanna figure out what's happening to me, and if I go back to the Fright Zone, then I'll never know. I never knew where I came from or who my family was. Shadow Weaver said it didn't matter who I was before, that-- that I was nothing before Hordak took me in. There's always been a part of me that I don't know anything about an-- and all of this, it feels familiar somehow. I don't know how else to explain it."
1,2,3,Bow,"Glimmer's mom knows more about First Ones' tech than anyone. She'll know what's going on with you and the sword for sure. So, if you want your questions answered, stick with us?"
1,2,3,Glimmer,Let's go. There should be a village a few miles from here. They'll be able to give us a ride back to Bight Moon. We've wasted too much time already.
1,2,4,Shadow Weaver,"For the last time, where is Adora?"
1,2,4,Catra,"For the last time, I don't know. You think I keep her on a leash?"
1,2,4,Shadow Weaver,I know you're lying. You two are close. She would never depart without telling you.
1,2,4,Catra,"Then I guess she let us both down, huh?"
1,2,4,Shadow Weaver,Have it your way. I already know where she is. We've been tracking her.
1,2,4,Catra,"Uh, then why did you ask me?"
1,2,4,Shadow Weaver,Because you are going to bring her back.
1,2,4,Catra,I don't think so.
1,2,4,Shadow Weaver,Your insolence will not protect her. You will do as I ask.
1,2,4,Catra,"Oh, yeah? Or what?"
1,2,4,Shadow Weaver,Or you will suffer the consequences in her place.
1,2,5,Glimmer,"Okay, the jacket comes off."
1,2,5,Adora,What? Why?
1,2,5,Glimmer,"If the villagers see a Horde soldier, they'll freak out. We gotta fix all this."
1,2,5,Adora,I feel ridiculous.
1,2,5,Bow,That's ‘cause you need something to tie it all together.
1,2,5,Adora,I don't like it.
1,2,5,Glimmer,"Point is, you don't look like a Horde soldier. Just keep a low profile. We'll be in and out."
1,2,6,Adora,What is this?
1,2,6,Bow,It's a festival. Like a big party. You don't have parties in the Fright Zone?
1,2,6,Adora,"Oh, right, parties. I mean, yeah, pfft, of course. I, uh-- I don't know what that is."
1,2,6,Bow,Ah!
1,2,6,Glimmer,"Did you even hear me? I said, in and out!"
1,2,6,Bow,"She has never been to a party before, Glimmer! This is serious."
1,2,6,Bow,"So, seriously? No parties ever?  What do you guys do on your birthday?"
1,2,6,Adora,Huh?
1,2,6,Bow,No birthdays?! How is your life this sad?
1,2,6,Adora,What is that?
1,2,6,Bow,That would be a horse.
1,2,6,Adora,It's majestic.
1,2,6,Bow,You wanna go meet it?
1,2,6,Adora,What? No!
1,2,6,Bow,"Come on, it's okay. See, he likes you."
1,2,6,Adora,This is the best day of my life.
1,2,6,Glimmer,Bow.
1,2,6,Bow,"Come on, I know you like her, too."
1,2,6,Adora,What's going on?
1,2,6,Glimmer,It's the Horde!
1,2,6,Bow,Why are they here? The people of Thaymor aren't a threat.
1,2,6,Adora,Wait. Did you say Thaymor? This can't be Thaymor.
1,2,6,Glimmer,Did you know something about this?
1,2,6,Adora,"No. I mean, yes. But there's a mistake. Thaymor's supposed to be a heavily fortified rebel fortress, not a civilian town!"
1,2,6,Glimmer,Do you really think that matters to them?
1,2,6,Adora,I can get them to stop. This is all a big mistake. I just need to talk to them. Get as many people out as you can and don't let them see you.
1,2,6,Adora,I'm sorry.
1,2,6,Glimmer,Adora!
1,2,7,Adora,Stop!
1,2,7,Catra,Adora!
1,2,7,Adora,Catra?
1,2,7,Catra,They let me drive a tank. Believe it?
1,2,7,Adora,"Catra, I don't understand. What are you doing here?"
1,2,7,Catra,"Uh, duh, we came to find you. ""Cover for me, Catra. No one will even  know I'm gone."" Seriously, did you just get immediately captured right after you snuck out--? What are you wearing?"
1,2,7,Adora,Uh...
1,2,8,Glimmer,Bow!
1,2,8,Bow,Hey!
1,2,9,Adora,There's no time. We have to put a stop this.
1,2,9,Catra,What? Why?
1,2,9,Adora,Because this is a civilian town. Look around! These aren't insurgents. They're innocent people.
1,2,9,Catra,"Yeah, sure. Innocent people who kidnapped a Horde officer. Now come on, let's get you back to the Fright Zone. Shadow Weaver is freaking out. It'd be funny if she weren't such a terrible person."
1,2,9,Adora,"Catra, no. I can't go back. Not until the Horde leaves this town alone. You have to help me."
1,2,9,Catra,What are you saying?
1,2,9,Adora,"I'm saying, this is wrong. They've been lying to us, manipulating us. Hordak, Shadow Weaver, all of them."
1,2,9,Catra,Duh! Did ya just figure that out? Manipulation is Shadow Weaver's whole thing. She's been messing with our heads since we were kids.
1,2,9,Adora,How could you possibly be okay with that?
1,2,9,Catra,"Because, it doesn't matter what they do. The two of us look out for each other. And soon we'll be calling the shots. Now, can we go home already?"
1,2,9,Adora,"I'm not going home, Catra. I can't. Not after everything I've seen. Come with me. You don't have to go back there. We can fix this."
1,2,9,Catra,"Are you kidding? You've known these people for, what, a couple of hours? And now you're just gonna throw everything away for them? Ugh. What happened to you?Adora: I don't know. But I have to do something. I'm sorry, Catra."
1,2,10,Bow,"Ah! I think that's all of them. Glimmer, let's go!"
1,2,10,Bow,What are we gonna do?
1,2,10,Glimmer,"There's nothing we can do, Bow. You're almost out of arrows and I'm almost out of magic."
1,2,10,Bow,"You can't say that. You're Glimmer. You throw yourself into every fight, no matter how hopeless."
1,2,10,Glimmer,"Ugh. Every decision I've made in the last day has almost gotten us killed. My mom's right, I'm not ready for this yet."
1,2,10,Bow,"No. You are not giving up right now. I'm sorry your mom doesn't see how strong you are, but that's her loss. You can do this, Glimmer, and you don't have to do it alone."
1,2,10,Glimmer,You're right. We need Adora.
1,2,10,Bow,We do? Didn't she just sell us out to the Horde?
1,2,10,Glimmer,I don't think she did. We need to find her. I think she can help us. Just trust me. Okay?
1,2,11,Catra,"Oh, man. That was a lot stronger than I thought. Are you okay?"
1,2,11,Adora,Catra!
1,2,11,Catra,I'm sorry! It was a reflex.
1,2,11,Adora,Why are you doing this?
1,2,11,Catra,"Because you left me. And if I don't bring you back, Shadow Weaver's gonna have my head. So, enough with your weird little identity crisis and let's go home already. Or do I need to zap you again?"
1,2,11,Adora,Glimmer?
1,2,11,Glimmer,Watch out!
1,2,11,Catra,Adora!
1,2,12,Adora,Glimmer? What are you doing? Why did you save me?
1,2,12,Glimmer,We need you. We need She-Ra. I should've given this back to you in the ruin. You could've saved us in there and I knew that. But I was stupid. And a jerk. And I almost got us killed and I'm sorry!
1,2,12,Adora,You're not any of those things. I'm the Horde soldier. How do you know you can trust me now?
1,2,12,Glimmer,I don't. But I hope I can. I feel like maybe you're here to help us.
1,2,12,Adora,For the honor of Grayskull!
1,2,13,Bow,"It's been an honor serving beside you, Horsey."
1,2,13,Glimmer,Bow! Are you okay?
1,2,13,Bow,Is that Adora?
1,2,13,Glimmer,It's She-Ra.
1,2,13,Other,Retreat!
1,2,13,Adora,Catra...
1,2,13,Bow,You did it!
1,2,13,Adora,I did?
1,2,13,Glimmer,You saved us. You saved everyone!
1,2,13,Adora,I did it. I turned against the Horde. I turned against the Horde! Why did I do that? I can't go back now. Where am I supposed to go?
1,2,13,Glimmer,"Hey, hey. It's okay. You're with us now. C'mon, let's go home."
1,2,13,Bow,Best-friends squad!
1,2,13,Bow,"Wait, whose horse was this?"
1,3,0,Bow,"Hey, we made it."
1,3,0,Adora,Whoa.
1,3,0,Glimmer,Welcome to Bright Moon.
1,3,0,Adora,It's so beautiful.
1,3,0,Glimmer,"Okay, I just need to go in there, recharge, and
deal with my mom. This'll be fun."
1,3,0,Glimmer,"Uh, Bow? Maybe we should take Adora in the back
way?"
1,3,0,Bow,"Oh, yeah. Good call."
1,3,0,Adora,What's the back way?
1,3,1,Adora,This is the back way?
1,3,1,Bow,"It might seem weird, but we totally come in this way
all the time."
1,3,1,Bow,"Oh! Hey, here. Why don't you put this robe on? No
reason."
1,3,1,Adora,You're trying to hide me.
1,3,1,Bow,What? No!
